id_avis,id_produit,id_client,id_achat,commentaire,note
151,375,392,400,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",1.1
152,376,394,401,Phasellus in felis.,2.3
153,377,397,402,Sed ante. Vivamus tortor.,2.1
154,378,401,405,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,1.8
155,379,407,408,Nullam varius.,3.3
156,380,408,409,Morbi vel lectus in quam fringilla rhoncus.,1.9
157,381,409,410,Nulla mollis molestie lorem. Quisque ut erat.,2.5
158,382,411,417,In congue. Etiam justo.,4.5
159,383,414,418,Vestibulum ac est lacinia nisi venenatis tristique.,0.6
160,384,415,424,Nulla tellus.,2.8
161,385,416,427,Ut tellus.,3.5
162,388,419,428,Maecenas tincidunt lacus at velit.,0.9
163,389,420,433,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",4.1
164,392,421,436,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",3.8
165,395,422,437,In quis justo. Maecenas rhoncus aliquam lacus.,2.5
166,396,425,438,Integer a nibh.,4.8
167,398,426,442,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2.6
168,401,430,448,Pellentesque viverra pede ac diam.,0.1
169,402,431,451,Fusce consequat. Nulla nisl.,4.5
170,403,433,453,Praesent blandit lacinia erat.,0.4
171,404,439,456,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,4.6
172,408,443,457,Quisque id justo sit amet sapien dignissim vestibulum.,1.6
173,409,445,460,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",3.9
174,411,446,464,Nullam molestie nibh in lectus. Pellentesque at nulla.,0.9
175,412,448,470,Nam nulla.,2.3
176,415,452,473,Nullam porttitor lacus at turpis.,4.3
177,417,454,474,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2.7
178,418,458,477,Integer non velit.,4.1
179,419,468,483,Morbi vel lectus in quam fringilla rhoncus.,4.1
180,422,471,485,Integer tincidunt ante vel ipsum.,3.8
181,424,472,488,Vivamus in felis eu sapien cursus vestibulum.,4.1
182,428,474,490,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1.0
183,430,475,492,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",4.9
184,432,476,493,In quis justo. Maecenas rhoncus aliquam lacus.,0.2
185,437,478,495,Nullam varius. Nulla facilisi.,1.7
186,439,480,497,Etiam faucibus cursus urna.,3.9
187,446,481,503,Vestibulum rutrum rutrum neque.,5.0
188,447,483,507,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,1.1
189,453,486,508,Donec vitae nisi.,3.0
190,456,487,509,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,1.3
191,458,492,510,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,1.0
192,460,493,514,Morbi a ipsum. Integer a nibh.,4.9
193,461,494,515,Nullam varius. Nulla facilisi.,0.8
194,464,495,517,Vivamus in felis eu sapien cursus vestibulum.,0.8
195,465,498,523,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.2
196,475,499,524,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2.1
197,477,502,527,Morbi quis tortor id nulla ultrices aliquet.,0.4
198,478,504,532,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,1.2
199,482,508,533,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",3.8
200,483,511,536,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,0.6
201,484,514,537,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2.7
202,485,517,541,Morbi quis tortor id nulla ultrices aliquet.,3.2
203,487,518,546,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2.7
204,489,519,548,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1.0
205,492,522,550,Phasellus in felis. Donec semper sapien a libero.,1.8
206,493,523,551,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,3.2
207,494,524,552,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2.0
208,496,525,556,Suspendisse potenti.,0.3
209,497,531,563,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,4.1
210,499,532,566,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",4.4
211,502,535,568,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,2.1
212,503,537,572,In hac habitasse platea dictumst.,0.7
213,506,538,574,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,4.4
214,517,539,575,Duis at velit eu est congue elementum.,1.3
215,518,540,578,Fusce consequat.,1.2
216,525,546,582,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",0.1
217,526,547,586,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2.1
218,529,548,588,Nulla ac enim.,4.8
219,531,553,592,Ut tellus. Nulla ut erat id mauris vulputate elementum.,3.5
220,532,554,593,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,2.9
221,535,555,597,Integer ac leo. Pellentesque ultrices mattis odio.,1.9
222,536,556,598,Etiam pretium iaculis justo.,2.5
223,537,557,600,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",4.5
224,538,560,601,Quisque ut erat. Curabitur gravida nisi at nibh.,2.3
225,539,561,602,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",4.9
226,540,570,604,Duis aliquam convallis nunc.,1.4
227,541,574,607,Praesent id massa id nisl venenatis lacinia.,1.2
228,547,575,610,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,2.2
229,549,579,615,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,3.1
230,551,580,617,Quisque porta volutpat erat.,3.7
231,553,581,619,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",0.6
232,555,583,620,Suspendisse accumsan tortor quis turpis. Sed ante.,1.6
233,561,586,621,Duis ac nibh.,0.6
234,562,587,622,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",3.4
235,566,589,623,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1.7
236,569,595,624,Suspendisse potenti.,3.8
237,570,598,625,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1.9
238,575,602,629,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",4.7
239,576,605,636,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1.6
240,579,609,637,Aliquam quis turpis eget elit sodales scelerisque.,1.1
241,583,610,640,Cras non velit nec nisi vulputate nonummy.,2.5
242,586,611,641,Praesent blandit lacinia erat.,3.6
243,587,618,642,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",3.0
244,590,619,645,Morbi porttitor lorem id ligula.,3.6
245,592,625,646,Etiam pretium iaculis justo.,3.2
246,593,628,648,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",3.2
247,595,629,650,Etiam justo.,0.6
248,596,631,651,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",2.5
249,604,634,655,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1.4
250,614,635,657,Suspendisse potenti.,3.5
251,617,638,658,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,3.8
252,623,641,659,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,1.6
253,624,645,662,Duis aliquam convallis nunc.,3.5
254,627,647,663,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1.6
255,628,649,668,Integer ac neque.,2.2
256,630,651,670,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,0.6
257,636,653,671,Nullam sit amet turpis elementum ligula vehicula consequat.,4.2
258,639,654,674,Sed vel enim sit amet nunc viverra dapibus.,1.7
259,641,657,676,Integer ac neque. Duis bibendum.,1.0
260,644,659,683,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",4.7
261,646,660,684,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2.0
262,652,664,688,Donec semper sapien a libero. Nam dui.,3.3
263,656,665,690,Cras non velit nec nisi vulputate nonummy.,2.9
264,659,666,693,Ut tellus. Nulla ut erat id mauris vulputate elementum.,2.6
265,662,669,697,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1.2
266,663,671,699,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",0.8
267,669,678,700,Suspendisse ornare consequat lectus.,1.5
268,673,679,702,Proin at turpis a pede posuere nonummy.,2.7
269,676,681,708,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",3.0
270,677,686,710,In eleifend quam a odio. In hac habitasse platea dictumst.,1.0
271,678,691,712,Morbi a ipsum.,4.1
272,682,695,716,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",3.2
273,685,697,720,Vestibulum rutrum rutrum neque.,1.9
274,687,699,721,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",4.1
275,688,700,722,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",3.9
276,689,702,724,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,2.5
277,692,703,728,Donec quis orci eget orci vehicula condimentum.,4.1
278,697,708,733,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",3.1
279,700,710,734,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,1.1
280,701,711,735,Donec dapibus.,2.8
281,706,714,737,Curabitur gravida nisi at nibh.,0.7
282,707,715,739,Morbi a ipsum. Integer a nibh.,1.1
283,712,717,740,Donec posuere metus vitae ipsum.,4.7
284,716,718,741,Nulla facilisi.,3.3
285,721,720,745,Nulla nisl. Nunc nisl.,2.8
286,722,723,747,Sed vel enim sit amet nunc viverra dapibus.,2.7
287,724,724,748,Suspendisse potenti. Nullam porttitor lacus at turpis.,4.4
288,726,731,750,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",4.9
289,727,737,753,Integer ac leo.,4.9
290,731,741,754,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",1.0
291,733,743,756,Curabitur convallis.,4.0
292,737,746,760,Curabitur at ipsum ac tellus semper interdum.,3.5
293,739,749,763,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",0.2
294,741,750,764,Vivamus vestibulum sagittis sapien.,3.1
295,745,753,766,Nulla ut erat id mauris vulputate elementum. Nullam varius.,2.6
296,746,754,768,Nulla facilisi.,0.1
297,747,755,769,In congue. Etiam justo.,0.5
298,750,757,770,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2.7
299,754,760,776,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,3.9
300,756,761,778,Proin risus.,1.4
301,757,766,779,Fusce posuere felis sed lacus.,3.2
302,758,769,780,Integer a nibh.,3.2
303,762,770,787,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,1.5
304,763,774,788,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,0.2
305,764,777,792,In sagittis dui vel nisl. Duis ac nibh.,1.9
306,765,778,793,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2.3
307,767,779,794,Suspendisse potenti. Nullam porttitor lacus at turpis.,3.2
308,768,780,796,In congue. Etiam justo.,2.9
309,771,782,803,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",3.3
310,773,783,804,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",3.0
311,777,784,805,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,4.5
312,778,791,814,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.4
313,780,792,817,Nam nulla.,3.7
314,781,793,822,Curabitur in libero ut massa volutpat convallis.,0.1
315,785,801,824,Donec semper sapien a libero.,0.1
316,797,802,825,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,3.1
317,798,804,827,Cras non velit nec nisi vulputate nonummy.,2.5
318,800,806,832,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",3.9
319,803,807,835,Nullam porttitor lacus at turpis.,4.5
320,804,812,836,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,0.4
321,805,813,837,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",1.1
322,806,814,841,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",2.5
323,809,817,845,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,1.3
324,810,819,846,Nullam sit amet turpis elementum ligula vehicula consequat.,3.7
325,811,824,855,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2.9
326,812,828,856,Vestibulum rutrum rutrum neque.,3.2
327,816,829,857,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",4.9
328,821,833,860,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",0.7
329,824,839,864,Nam tristique tortor eu pede.,3.3
330,827,840,870,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",0.7
331,833,844,873,Nulla facilisi.,4.9
